Results
length,Time (Seconds),Number of Trees,Score
5,0.0003781318664550781,-2,3
6,0.001127481460571289,-10,6
7,0.002850055694580078,-10,16
8,0.0036118030548095703,0,6
9,0.003410816192626953,-4,4
10,0.014870405197143555,-9,24
11,0.24775171279907227,-20,528
12,0.0060880184173583984,-32,5
13,2.2495203018188477,-42,2205
14,66.29527258872986,-25,156800
15,8.830902099609375,-90,6669
16,0.3136610984802246,-91,160
17,1.987945318222046,-25,2016
18,2.3845324516296387,-10,1764
19,65.03750371932983,-112,38242
