Results
length,Time (Seconds),Number of Trees,Score
5,0.0005202293395996094,-4,5
6,0.001123666763305664,-4,5
7,0.001833200454711914,-7,5
8,0.004004955291748047,-4,5
9,0.009119987487792969,-3,20
10,0.0070629119873046875,-10,8
11,0.0989835262298584,-12,345
12,0.6144530773162842,-13,462
13,1.968144178390503,-10,2772
14,2.277221918106079,-20,6084
15,0.9538359642028809,-15,702
16,0.38738107681274414,-12,112
17,0.849745512008667,-18,336
18,15.334747791290283,-13,8160
19,2.141517400741577,-11,2304
20,14.75311827659607,-15,6336
21,117.08868765830994,-14,29808
22,544.6887195110321,-26,559008
23,32.0569703578949,-9,12672
24,533.2332451343536,-16,285120
