Results
length,Time (Seconds),Number of Trees,Score
5,0.0003058910369873047,-4,3
6,0.0015053749084472656,-6,10
7,0.0017199516296386719,-10,5
8,0.0023708343505859375,-6,3
9,0.0049190521240234375,-7,12
10,0.008690595626831055,-4,12
11,0.11890530586242676,-18,408
12,0.016336679458618164,-7,12
13,0.15616083145141602,-13,216
14,0.05963134765625,-9,20
15,0.1537489891052246,-13,84
16,0.730095624923706,-15,684
17,0.7547149658203125,-17,849
18,16.168555974960327,-15,17280
19,2.8042843341827393,-19,1016
20,23.271622896194458,-21,11000
21,3.5530099868774414,-7,2268
22,0.44368910789489746,-15,288
23,1.484762191772461,-11,462
24,77.41881895065308,-16,40320
