Results
length,Time (Seconds),Number of Trees,Score
5,0.0002110004425048828,0,1
6,0.0006039142608642578,1,3
7,0.0081024169921875,-9,27
8,0.002233266830444336,-9,3
9,0.006426811218261719,-10,6
10,0.01194906234741211,-4,10
11,0.08970141410827637,-13,189
12,0.029339313507080078,-11,30
13,0.18956542015075684,-6,288
14,0.028291702270507812,-13,32
15,7.419463396072388,-11,5280
16,0.06417608261108398,-11,40
17,1.6089298725128174,-18,660
18,6.023442268371582,-25,4608
19,21.024193048477173,-21,12032
20,10.133366346359253,-6,10080
21,2.2171173095703125,-22,1440
22,3.0040206909179688,-4,900
23,0.12285423278808594,-16,32
24,10.81074333190918,-25,6912
