Results
length,Time (Seconds),Number of Trees,Score
5,0.00081634521484375,-6,5
6,0.0015816688537597656,1,3
7,0.003373861312866211,-3,4
8,0.0035965442657470703,-3,2
9,0.0066411495208740234,-2,3
10,0.02394413948059082,-13,45
11,0.026248455047607422,-1,12
12,0.009084939956665039,-8,1
13,0.03492856025695801,-12,12
14,1.2053687572479248,-9,1152
15,0.02562093734741211,-9,8
16,0.08540773391723633,-14,27
17,0.9462110996246338,-16,1152
18,1.1533210277557373,-21,792
19,1.1232683658599854,-11,896
20,5.80864953994751,-21,2352
21,0.11382675170898438,-15,28
22,0.8011901378631592,-25,384
23,11.991945028305054,-28,12096
24,0.5717065334320068,-15,144
