Results
length,Time (Seconds),Number of Trees,Score
5,0.0005116462707519531,-4,2
6,0.0008037090301513672,-1,1
7,0.004003763198852539,1,4
8,0.011867523193359375,-7,11
9,0.009924650192260742,-9,9
10,0.10005450248718262,-12,114
11,0.6563291549682617,-14,576
12,0.18675637245178223,-12,110
13,0.7839937210083008,-14,756
14,0.017489194869995117,-9,8
15,0.5208630561828613,-16,738
16,2.0596206188201904,-15,2240
17,2.2678370475769043,-21,1000
18,44.12214541435242,-12,57600
19,205.94797086715698,-13,114816
20,218.8694450855255,-22,98100
21,3.5023398399353027,-11,1944
22,44.94208645820618,-20,33600
23,85.32936143875122,-24,52920
24,0.9913506507873535,-20,864
